,source,target,weight,PMID
176,SP1,PNMT,1,10085109;12694408;14573768;16926281;19220706;19539715;20654592;21046459;7615530
177,NFIC,PCK1,1,10085123;9593667
178,CREB1,PCK1,1,10085123;10854692;11092886;1655770;16803882;19583954;20022930;20137375;20688914;20797423;21406501;23058912;24046422;8093246;8386317;9593667
179,NR4A1,PCK1,1,10085123
180,HMGA1,NOS2,1,10085153;11056164;14630716;18279675;18937643
181,RELA,NOS2,1,10085153;11036073;12057007;14978160;15170030;15350552;16169848;16283237;16318585;17035338;17041221;17068060;17081374;17720813;18057724;18596035;19766095;20600530;23085209;24014650;24360823;9685183;9712833;9754583
182,NFKB1,NOS2,1,10085153;11036073;11438703;12595462;15170030;15350552;16283237;16318585;17081374;17720813;18057724;19766095;22949549;23646894;24360823;9685183;9754583
183,USF1,USF1,1,10085160;11111045;12235287;12857727;14669984;15240803;18817855;19087304;19416648;19423764
184,DDIT3,CEBPB,-1,7588595
185,CEBPB,DDIT3,1,10085237;16757577;8051100;8662954
186,DDIT3,ATF4,1,15775988;18396163;18940792;24308964
187,ATF4,DDIT3,1,10085237;12082616;12083523;15775988;16006626;16246168;17276738;17455323;17726049;18940792;20020050;20732869;21044953;21966512;22691366;22802018;24939851;31226023
188,ATF3,ATF4,1,10085237;17042743;23269699
189,ATF4,ATF3,1,10085237;16246168;16989641;17042743;21801305;22819556;23269699;25681212
190,ATF3,DDIT3,1,10085237;14729979;22753726;9343434
191,TAF1,CCNA2,1,10086334;11287574;17166848;22711989;9334328;9388200
192,RUNX2,BGLAP,1,10088730;10440929;10660618;10759426;11331591;11668178;11681994;11882458;11893738;12110689;12151083;12270142;12403780;12529404;12551949;12697832;12704187;12933820;12952188;15131132;15225783;15292260;15456860;15456894;15713650;16000305;16267835;16613847;16720721;16772287;17117476;17352650;17439944;17707335;18171674;18287524;18321663;18821584;19051235;19324883;19339281;19419310;19594294;20116374;20578243;21147283;21308732;21471200;22493443;23326237;24389415;9182762;9804819;9812998
193,TFAP2A,FABP2,1,10090146;9315651
194,TFAP2B,FABP2,1,10090146
195,ATF2,SELE,1,10090829;9317150
196,HMGA1,SELE,1,10090829;7520524;7523851;9016563
197,HNF1A,LCT,1,10092306;10677375;12011060;9582375
198,CREM,LIPE,1,10092610
199,SMAD4,SERPINE1,1,10092624;10636910;12551947;19752858;9606191;9765209;9792626
200,SMAD3,SERPINE1,1,10092624;10557285;11387330;11590145;12551947;15198928;15561701;15840021;16169848;17761371;18333754;19132220;19563779;19586629;19643931;19887897;20093492;23063463;24330518;9380693;9606191;9765209;9792626
201,STAT1,IRF8,1,10092656;16918696;19074829
202,IRF8,STAT1,-1,22805310
203,IRF8,IFNG,1,10092656;10358195;12370291;12429737;19074829;2111015;21731497;21862594
204,MAZ,MAZ,1,10092852;12270922;12684688;16148153;17237427
205,TP53,S100A2,1,10094469;18388131;18431400;21394211;22747445;24556685
206,PAX6,GCG,1,10094478;10319322;10506141;10862760;10938089;11457839;11707457;11773447;11845228;12783165;14765989;15590659;17263687;17901057;17962386;19217949;19223471;19338578;20592023;21824252;21824254;22426149;9224716;9933606
207,TP53,BAX,1,10094833;10101800;10400708;10510469;10559267;10566557;10744634;10777477;10935506;11104574;11118038;11278953;11335718;11395510;11420692;11423991;11429705;11748232;11756653;11850816;11928223;12168779;12173040;12203124;12433990;12560513;12806965;12851404;15242522;15566940;15679092;15851483;15988033;16215989;16341121;16931621;17145718;17280505;17521288;17690113;17693666;18034190;18172861;18381427;19054058;19067706;19242108;19505426;20400479;20546728;20567883;20673369;20840522;21859835;22532570;22732402;23100276;24098340;24336083;7834749;8183578;8564971;8635454;8845569;9000137;9122197;9400998;9445173;9582019;9582400
208,TP53,CCNG1,1,10094833;12642871;14581561;16540664;19925028;7957050;9233778;9525742;9688532
