,source,mor,target
742,NFE2L2,1,PRDX1
743,ATM,1,BID
746,ATR,1,RBBP8
748,ATR,1,FANCI
749,E2F1,1,APAF1
750,CDK1,1,E2F1
752,E2F2,1,EED
755,TSC1_TSC2,-1,RHEB
758,TP53,1,BID
759,MAP3K8,1,MAP3K14
760,IKBKB,-1,TSC1
762,MAP3K8,1,MAP2K4
764,EIF4EBP2,-1,EIF4E
769,BCL10,1,IKBKG
770,TP53,1,CASP6
773,MAP3K14,1,IKBKB
778,TP53,-1,BIRC5
779,TNIP1,1,IKBKG
780,MYC_ZBTB17,-1,CDKN1A
781,E2F2,1,EZH2
783,E2F1,1,DBF4
785,ATM,1,NFAT5
786,IL22,1,IL10RB
788,EPO,1,EPOR
789,TP53,-1,CDC25C
796,JAK2,1,STAT3
797,EPO_EPOR,1,JAK2
800,KSR2,-1,MAP3K8
802,NFKB1,-1,MAP3K8
804,ATM,1,STK11
807,HIPK2,1,TP53
810,ATM,1,PPP2R5D
812,ATM,1,PPP2R5C
813,DACT2,-1,ACVR1B
815,CXCL16,1,CXCR6
816,CASP1,1,IL37
821,CASP1,1,IL33
822,CCL3L3,1,CCR5
823,ASF1A,1,CHAF1B
826,MAP3K7,1,IKBKB
827,STK11,1,PRKAG1
828,ASF1B,1,CHAF1B
829,TNFRSF10A,1,TNFRSF10B
830,CHAF1A_CHAF1B_RBBP4,1,ASF1A
832,KAT8,1,H4C2
834,TNFRSF10A,1,RIPK1
835,TNFRSF10B,1,RIPK1
836,NMI,1,STAT1
837,KRT18,-1,TRADD
839,ATM,1,ABL1
840,TNFRSF10A,1,TRADD
841,TNFRSF10B,1,TRADD
843,TRAF2,1,BIRC2
848,IRF1,1,ISG20
858,IL10,1,IL10RA
859,NLRP1,1,CASP5
862,CASP1,1,FGF2
864,CASP1,-1,PYCARD
866,CARD18,-1,CASP1
870,CARD16,-1,CASP1
873,JAK1,1,IRS1
875,CASP1,1,IL1A
876,JAK1,1,IRS2
879,CSNK2A1_CSNK2B,-1,GYS1
887,ABL1,1,STAT1
891,TP53,1,TIGAR
894,NOD2,1,MAP3K14
895,PRKDC,1,CASP2
897,ATM,1,PRKDC
898,ABL1,1,TOP1
899,PIDD1,1,PRKDC
902,STAT1,1,IRF1
905,TICAM1,1,RIPK1
906,TICAM1,1,TBK1
907,TICAM1,1,IKBKE
908,IFNG,1,IFNGR1
909,IFNAR1_IFNAR2,1,JAK1
910,RSF1,-1,NFKB1
915,ATF2_JUN,1,IFNB1
916,CLSPN,1,DDB2
917,IFNGR1_IFNGR2,1,JAK2
919,IFNAR1_IFNAR2,1,TYK2
927,DAPK1,1,TPM1
931,ATM,1,SMC3
934,DAPK3,1,CDKN1A
935,ZDHHC9,1,HRAS
936,ZDHHC9,1,NRAS
938,IGF2,1,IGF2R
940,FLT3LG,1,FLT3
941,KITLG,1,KIT
943,IGF2,1,IGF1R
945,SMG1,1,TP53
946,CHEK2,1,STRAP
949,TLR4,1,TIRAP
950,KAT2B,1,H3C12
952,TLR4,1,TICAM2
953,TICAM2,1,TICAM1
955,TRAF6,1,MAP3K7
956,TICAM1,1,TRAF6
958,RCAN1,-1,PPP3CA
960,TLR3,1,TICAM1
961,MYD88,1,IRAK4
965,ATG14,1,BECN1
967,FOXO1,1,ATG7
968,RUBCN,-1,BECN1
970,CARD8,-1,CASP9
972,SERPINB9,-1,CASP1
973,CASP1,-1,CARD8
975,DAPK3,1,MYL12A
976,DAPK1,1,MYL12A
977,ROCK1,1,MYL12A
978,TP53,-1,BCL2
980,CFLAR,-1,ATG3
982,RPS6KA3,-1,BAD
984,RPS6KB1,1,RPS6
986,CDK1,1,BIRC5
989,GAPDH,-1,RHEB
990,TP53,-1,UBD
994,TP53,1,TRIAP1
996,TP53,1,TSC2
1000,AKT1,-1,ITPR1
1005,SFPQ,1,NONO
1006,NONO,1,TOP1
1008,APLF,1,PARP1
1010,ATR,1,TDP1
1012,ATM,1,TDP1
1015,CHEK1,1,RAD51
1018,BIRC2,1,ERC1
1019,GSK3B,-1,GYS1
1020,PPP1R3A,1,GYS1
1023,GSK3B,1,AXIN1
1024,CSNK1A1,-1,PRKN
1030,GSK3B,1,LRP6
1032,BTRC_CUL1_SKP1,-1,WEE1
1034,MAPK8,-1,YWHAZ
1036,BCL2,-1,BECN1
1043,ATM,1,HMGA1
1044,PPP3CA_PPP3R1,1,BAD
1045,AKT1,1,NOS3
1052,CSNK1A1,-1,CDC25A
1054,CHEK1,1,TP53
1055,TP53,1,PLAGL1
1056,E2F1,1,CASP3
1070,PPARG,1,ADIPOQ
1071,TLX1,1,ALDH1A1
1072,ATR,1,E2F1
1073,YWHAQ,1,E2F1
1074,E2F1,1,DDB2
1078,DDX17,1,ESR1
1084,TP53,-1,PTK2
1085,TP53,1,PTEN
1086,TP53,1,PRKAB1
1089,CHUK_IKBKB_IKBKG,-1,FOXO3
1095,PLK3,1,TP53
1102,E2F1,1,CCNB1
1106,TP53,1,SFN
1107,TP53,1,SESN1
1109,TP53,1,COP1
1112,TP53,1,S100A2
1115,MIR17HG,-1,CCND1
1116,TP53,1,TP73
1117,TP53,1,TP63
1122,ETS1,1,STAT1
1125,TP53,1,TNFRSF10C
1129,ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,1,TP53
1131,AXIN1,1,MYC
1138,IKBKG,1,IKBKB
1143,KAT7,1,H4C2
1146,CASP8,1,CASP6
1149,CSNK2A1_CSNK2B,1,TOP2A
1154,CDK1,1,CSNK2B
1157,DYRK2,1,TP53
1158,GDE1,-1,PPM1D
1159,CCNH_CDK7_MNAT1,1,CCNA2
1160,TBK1,1,IRF7
1165,TLR5,1,MYD88
1166,KDM3B,-1,H3C12
1167,RIPK2,1,BCL10
1172,KDM4C,-1,H3C12
1173,KDM4B,-1,H3C12
1174,GDE1,-1,CCNE1
1176,GDE1,-1,CCND1
1177,APC_CDC20,-1,CCNB1
1178,CCNH_CDK7_MNAT1,1,CCNE1
1179,ATR,1,RFWD3
1180,CCNT1_CCNT2_CDK9,1,POLR2A
1181,TNFRSF10A,1,FADD
1182,BAK1,1,AIFM1
1186,CSNK2B,1,TP53
1187,ABL1,1,WASL
1188,APIP,-1,APAF1
1190,TNFAIP3,-1,IKBKG
1195,ABL1,1,ZDHHC16
1197,CASP1,1,IL18
1199,ABL2,1,WASL
1201,CAPNS1,1,CAPN2
1204,MIR17HG,-1,E2F1
1206,PIK3R4,1,PIK3C3
1209,KMT2B,1,H3C12
1210,KMT2D,1,H3C12
1211,CARM1,1,H3C12
1213,BID,1,BAK1
1214,BID,1,BAX
1223,MRE11_NBN_RAD50,1,ATM
1226,WEE1,-1,CDK1
1234,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,ACACA
1235,BRD4,1,CDK9
1236,CDK9,1,RB1
1238,MBD1,1,SETDB1
1243,SMARCA4,1,HIC1
1248,SOCS3,-1,TRAF6
1250,MAP2K2,1,MAPK3
1251,MAPK8,1,BMF
1255,PPP5C,-1,PRKDC
1259,CASP5,1,IL18
1261,MAPK8,1,BAX
1262,RPA1_RPA2_RPA3,1,RFWD3
1264,MAP2K1,1,MAPK1
1268,AKT1,-1,TBC1D1
1269,AKT1,-1,TBC1D4
1270,PPM1D,-1,ATM
1271,PARP1,1,XRCC1
1272,PARP1,1,APTX
1273,HSP90AA1,1,SMYD2
1274,SMYD2,-1,TP53
1276,CXCL9,1,CXCR3
1277,SETD2,1,H3C12
1278,CCL5,1,CCR5
1280,CCL8,1,CCR5
1282,CCL4,1,CCR5
1283,IL6,1,IL6ST
1286,MAVS,1,IKBKB
1289,RIOX1,-1,SP7
1290,FKBP8,1,BCL2L1
1293,MYC,1,RIOX2
1295,CTBP1,-1,ELK3
1296,SETD7,1,H3C12
1299,DOT1L,1,H3C12
1303,ATG16L1,1,CLTC
1306,CASP3,1,ATG4D
1307,FADD,1,ATG5
1308,MYC,1,MIR17HG
1312,FADD,1,RIPK1
1317,HTRA2,-1,BIRC6
1319,HTRA2,-1,BIRC3
1320,HTRA2,-1,BIRC2
1322,HTRA2,-1,XIAP
1324,BIRC6,-1,DIABLO
1328,BNIP3L,1,GABARAPL1
1329,ATG4A,1,GABARAPL2
1330,CASP3,-1,IKBKB
1333,ATG4B,1,GABARAPL2
1335,BIRC2,-1,CASP7
1337,BIRC3,-1,CASP7
1338,PRKDC_XRCC6,1,H2AX
1339,ATM,1,H2AX
1340,H2AX,1,MDC1
