,source,mor,target
3808,RPL11,-1,MDM2
3813,TP53,1,XPC
3815,ABL1,1,PXN
3817,ABL1,1,RAPGEF1
3818,SMAD2,1,SP1
3830,ABL1,1,PTPN6
3834,ABL1,1,PSTPIP1
3835,TP53,1,TNFRSF10D
3839,AR,1,JUN
3845,AR,1,DDC
3847,GSK3B,-1,CDK1
3848,SRC,1,AR
3851,CDK2,-1,CCNE1
3853,PKMYT1,-1,CDK1
3859,ESR1,1,CCND1
3864,ESR1,1,XBP1
3874,ESR1,1,GATA3
3876,EGFR,1,STAT5A
3880,ERBB4,1,STAT5A
3886,EGFR,1,PCNA
3887,EGFR,1,PRKDC
3888,ERBB2,-1,CDK1
3891,TNFAIP3,-1,TBK1
3892,TRIM25,1,RIGI
3893,TNFAIP3,-1,IKBKE
3895,TGFBR2,1,SMAD2
3899,TGFBR2,1,SMAD3
3900,STAT3,1,HSP90AA1
3903,STK3,1,LATS2
3905,HSP90AA1,1,RAF1
3906,RASSF1,1,STK3
3907,STK3,1,LATS1
3908,HSP90AA1,1,MYOD1
3911,ATM,1,RASSF1
3912,HSP90AA1,1,SRC
3915,ESR1,1,RARA
3920,HSBP1,-1,HSF1
3922,HDAC6,1,HSP90AA1
3932,AKT1,-1,HSPB1
3935,AKT3,-1,HSPB1
3936,HSPB1,-1,NFKBIA
3939,MAPKAPK3,1,HSPB1
3942,MAPK14,-1,MAPK3
3943,STAT3,1,HSP90AB1
3944,CEBPB,1,STAT3
3946,ARAF,1,MAP2K2
3947,BRAF,1,MAP2K1
3948,RAF1,1,MAP2K2
3949,BRAF,1,MAP2K2
3951,MAPK1,-1,BRAF
3953,ARAF,1,MAP2K1
3959,MAP2K2,1,MAPK1
3960,MAPK3,1,RPS6KA1
3961,RPS6KA1,-1,BAD
3962,RNF8,1,H2AZ1
3963,STAT5A,1,BCL2L1
3964,MFN1,1,BAK1
3967,MAPK3,-1,BRAF
3981,UBE2N,1,TRAF2
3984,TRAF2,1,BIRC3
3990,COPS5,1,NCOA1
3994,PRKDC,1,MAPK8
3996,MAPK8,1,SP1
3999,ATM,1,RRM2B
4000,SP1,1,SREBF1
4004,POLH,1,REV1
4019,HNF4A,1,APOA1
4023,HERC2,1,RNF168
4024,HERC2,1,RNF8
4034,HIC1,1,SIRT1
4036,REV1,1,REV3L
4049,TOPBP1,1,RAD9A
4054,HNF4A,1,G6PC1
4057,DCLRE1B,1,MUS81
4073,RAD54L,1,MUS81
4077,SMARCA4,1,XPC
4078,XPC,1,SMARCA4
4080,DDB2,1,XPC
4084,FOXO3,1,SOD2
4086,ABL1,1,CASP9
4087,SPI1,1,ITGAM
4088,ABL1,1,CAT
4090,FOXO3,1,PIK3CA
4091,SPI1,1,ITGB2
4097,PLK1,1,ECT2
4100,FOXO3,1,ESR1
4103,ABL1,1,APBB1
4104,ABL1,1,APP
4105,ABL1,1,BCAR1
4113,ABL1,-1,BTK
4114,PLK1,1,CCNB1
4115,ABL1,1,CDK5
4116,FOXO3,1,CDKN2D
4117,SRC,1,ABL2
4118,FOXO3,1,CDKN2B
4120,HCK,1,ABL2
4122,ABL1,1,ABL2
4125,FOXO3,1,BCL6
4127,XPA,1,CEP164
4132,ABL1,1,ABI1
4134,CHEK1,1,FANCE
4135,AKT1,1,TOPBP1
4136,CHEK1,1,FANCD2
4138,SRC,1,ABL1
4139,HCK,1,ABL1
4158,CDK1,1,NDEL1
4159,FOXO3,1,TNFSF10
4162,RASSF1,-1,CDC20
4163,AURKA,-1,RASSF1
4164,PIAS1,1,SOX9
4165,UBE2I,1,RANGAP1
4166,RANBP2,1,RANGAP1
4167,UBE2I,1,UIMC1
4170,UBE2I,-1,PPARG
4183,EP300,1,TP63
4186,HERC2,-1,XPA
4197,OTUB1,-1,UBE2N
4205,GATA1,-1,SPI1
4208,CEBPA,1,SPI1
4209,CSF3,1,CSF3R
4212,CSF2,1,CSF2RA
4216,ATM,1,RPA2
4218,ATR,1,MCM2
4219,ATM,1,MCM3
4220,TERF2,1,WRN
4221,EEF1E1,1,ATR
4222,EEF1E1,1,ATM
4224,CSNK2A1_CSNK2B,1,XRCC1
4228,ATR,1,SMC1A
4230,PRKDC,1,VCP
4231,PPM1D,-1,UNG
4235,NSMCE2,1,SMC6
4236,HGF,1,MET
4237,MET,1,SHC1
4239,ATM,1,AKT1
4241,PPM1D,-1,CHEK1
4243,CDCA3,-1,WEE1
4246,BRCA1,1,GADD45A
4247,GADD45A,1,MAP2K4
4248,RAD52,1,RAD51
4252,AKT1,1,MDM2
4254,DYNLL2,-1,BMF
4255,TP53,1,BTG2
4259,GSK3B,1,CYCS
4260,GSK3B,-1,VDAC1
4263,MAPK1,-1,CASP9
4265,EGFR,1,MAP2K1
4290,ID3,-1,TCF3
4292,KAT5,1,PRKDC
4294,BAK1,1,CYCS
4295,BAK1,1,DIABLO
4296,BAX,1,HTRA2
4303,IKBKE,1,IRF3
4305,RPA1,1,ATRIP
4306,CASP3,-1,PSIP1
4307,KEAP1,-1,NFE2L2
4312,MAPK1,1,STAT3
4313,STAT3,1,RELA
4315,BAX,1,CYCS
4317,WRN,1,RAD52
4318,BIRC5,-1,CASP7
4319,XRCC5_XRCC6,1,WRN
4320,PML,1,TOPBP1
4324,RB1,-1,E2F3
4325,RB1,-1,E2F2
4327,BLM,1,TP53
4337,TNF,1,TNFRSF1B
4338,BAG4,-1,TNFRSF1A
4339,TNFRSF1B,1,TRAF2
4344,BTRC,-1,WEE1
4356,RNF40,1,RNF20
4357,RNF20,1,RNF40
4358,PRKDC,1,WRN
4359,PRKDC,1,H2AX
4362,MAPK14,1,CSNK2A1
4367,NFE2L2,1,GCLM
4370,NFE2L2,1,GCLC
4373,PIN1,1,MAPT
4374,CAMK2A_CAMK2B_CAMK2D_CAMK2G,1,MAP3K7
4375,MARK1,-1,MAP2
4376,MARK1,-1,MAP4
4379,ERCC5,1,PCNA
4380,INS,1,INSR
4400,NR0B2,1,HNF4A
4408,ATM,1,FANCI
4413,TNFSF9,1,TNFRSF9
4425,BAG1,1,BCL2
4428,TP53,1,FBXW7
4435,PCNA,1,RFC1
4438,NOTCH1_RBPJ,1,HES5
4451,PAX6,1,SIX3
4452,ATR,1,BRCA1
4454,ATR,1,CHEK1
4464,MAF,1,CRYAB
4466,MAP3K4,1,MAP2K6
4467,GADD45B,1,MAP3K4
4469,MCPH1,1,E2F1
4470,BAG1,-1,PPP1R15A
4471,MAP3K4,1,MAP2K4
4474,CSNK1A1,1,TP53
4479,CDC25A,1,CDK2
4480,MYC,1,CDC25A
4482,XIAP,-1,CASP3
4484,BIRC3,-1,CASP3
4487,HUS1,1,PCNA
4488,ATF2,1,ATF3
4489,NFE2L2,1,HMOX1
4491,ATR,1,RAD17
4492,BRCA1,1,NFE2L2
4493,MARK2,-1,MAPT
4494,SEM1,1,BRCA2
4495,MARK1,-1,MAPT
4496,CSNK2A1_CSNK2B,1,MDC1
4497,GRB2,1,RHOU
4498,UBE2N,1,PCNA
4500,NFE2L2,1,NQO1
4502,NAB2,-1,EGR1
4509,TP53BP1,1,TP53
4510,MYC,1,CCND2
4513,MYC,1,CDK4
4515,NAB1,-1,EGR1
4518,TP53,1,RRM2B
4519,TP53,1,TP53INP1
4520,PRKDC,-1,H1-2
4521,BLM,1,FEN1
4522,EGR1,1,TP53
4523,PALB2,1,BRCA2
4525,H2AX,1,MCPH1
4527,WRN,1,FEN1
4533,TP53,1,PIDD1
4535,H4C2,1,TP53BP1
4536,FAS,1,FADD
4538,CD70,1,CD27
4540,TNFSF10,1,TNFRSF10D
4542,TNFSF10,1,TNFRSF10B
4543,TNFSF10,1,TNFRSF10A
4545,TP53,1,CCNG1
4546,TNFRSF10B,1,FADD
4547,TNFRSF1A,1,RIPK1
4548,TNFRSF1A,1,TRADD
4549,SPI1,-1,TAL1
4551,SPI1,1,VAV1
4559,TRADD,1,FADD
4561,TNF,1,TNFRSF1A
4562,BIRC2,-1,CASP9
4566,HNF1B,-1,DPP4
4575,TWIST1,-1,CDKN2A
4576,TWIST1,-1,CDKN2A
4589,BTRC,-1,GLI2
4591,BTRC,-1,LGI3
4592,BLVRA,1,PRKCB
4594,INSR,1,IRS1
4597,HDAC1,1,GLI2
4598,ITCH,-1,GLI1
4604,PPARGC1A,1,ESRRA
4607,GZMB,1,CASP7
4612,PIM1,-1,BAD
4613,GLI2,1,GLI1
4623,CHEK2,1,BRCA1
4625,PCNA,1,POLD4
4626,RBBP8,1,MRE11
4627,MRE11_NBN_RAD50,1,RBBP8
4628,BABAM1,1,BRCA1
4629,RPA1,1,BRIP1
4631,CDK5,1,HTT
4633,TOPBP1,-1,E2F1
4634,MAP2K3,1,MAPK14
4635,DDIT3,1,JUND
4636,DDIT3,1,JUND
4641,EYA2,1,H2AX
4643,MAP3K5,1,MAP2K3
4646,PPP2CA,-1,ATM
4647,UBE2I,-1,TDG
4648,STK36,1,GLI1
4649,STK36,1,GLI2
4652,HSPB6,1,AKT1
4654,HSPA1A,-1,APAF1
4656,GLI1,1,NKX2-2
4658,GLI1,1,PTCH1
4662,MAPK14,-1,PRKACA
4663,BARD1,1,BRCA1
4664,UBE2D3,1,BRCA1
4668,TCL1A,1,AKT1
4669,CASP2,1,CASP8
4681,BMF,-1,BCL2L1
4685,SRC,1,CDC42
4687,CDC42,1,MAP3K1
4689,MAP3K1,1,MAP2K7
4696,BMF,-1,MCL1
4697,BMF,-1,BCL2
4703,MAPK8,-1,BCL2L1
4704,BCL2L11,1,BAX
4707,TRAF3,-1,MAP3K14
4711,XIAP,-1,CASP7
4712,GNRH1,1,GNRHR
4713,KAT5,1,ATM
4714,ERN1,1,MAPK8
4718,GZMB,1,BAD
4719,RPS6KB1,-1,BAD
4720,BAD,1,GCK
4721,TYK2,1,STAT1
4722,EP300,1,STAT3
4723,EP300,1,STAT5A
4728,CASP8,-1,RIPK1
4729,JAK1,1,STAT1
4732,MAPK8,1,STAT1
4733,MAPK9,1,STAT1
4735,CDK1,1,BAD
4737,PIAS1,1,GLI2
4738,PIAS1,-1,GLI3
4739,CDKN1A,-1,CCND3
4740,CDKN1B,-1,CCND3
4743,FKBP6,-1,GAPDH
4744,GSK3B,1,CEBPA
4745,RAC1,1,STAT3
4746,N4BP1,-1,ITCH
4747,ITCH,-1,TP63
4748,PIAS3,-1,MITF
4749,FBXW7,-1,NOTCH4
4750,FBXW7,-1,AURKA
4753,MAP2K7,1,MAPK8
4754,PRKRA,1,EIF2AK2
4756,RPA1_RPA2_RPA3,1,SMARCAL1
4757,CDK1,-1,ESPL1
4758,CKS1B,1,CDK1
4760,MAPK14,1,DDIT3
4761,MAPK14,1,DDIT3
4762,CCND2,1,CDK6
4763,CCND3,1,CDK6
4764,USP7,1,TP53
4765,XAF1,-1,XIAP
4766,RCHY1,-1,CDKN1B
4767,CCND3,1,CDK4
4768,CCND1,1,CDK4
4769,TP53BP2,1,TP53
4770,CCND2,1,CDK4
4771,CCND1,1,CDK6
4774,HUWE1,-1,TP53
4775,RCHY1,-1,TP53
4776,WRAP53,1,TP53
4782,PDK1,1,AKT1
4783,BBC3,-1,BCL2L1
4784,BBC3,-1,BCL2L1
4785,BBC3,-1,BCL2
4786,BBC3,-1,BCL2
4788,CASP12,1,CASP9
4791,RAC1,1,SET
4793,AKT1,-1,PTEN
4795,ATM,1,ATMIN
4796,RARA,1,RARG
4797,PTPN13,-1,FAS
4799,DHX9,1,WRN
4802,AKT1,1,CREB1
4804,DAB2,-1,PPP1R2
4805,MAPK8,1,BID
4807,PMAIP1,-1,BCL2
4809,PMAIP1,-1,BCL2L1
4810,FANCD2,1,FAN1
4811,SH3GLB1,1,BAX
4814,FAAP100,1,FANCA
4817,WNT5A,1,ROR2
4818,CDKN2A,-1,MDM2
4819,CDKN2A,-1,MDM2
4824,ARHGEF2,1,RHOA
4827,DAAM1,1,RHOA
4828,DVL2,1,ARRB2
4833,ROCK1,1,PFN2
4835,MARK2,1,DVL3
4836,BRCA1,-1,ABL1
4842,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,MLXIPL
4843,PAK1,1,CTNNB1
4844,CFLAR,-1,CASP8
4845,CDC42,1,PAK1
4846,RAC1,1,PAK1
4848,ATR,1,H2AX
4850,RARB,1,RXRG
4851,BAX,1,DIABLO
4853,PDK1,1,PAK1
4857,CDK5,-1,PAK1
4860,ERBB2,1,PAK1
4862,AKT1,1,IKBKB
4863,CDK2,-1,PAK1
4865,CHEK2,1,E2F1
4866,FBXW7,-1,PPARGC1A
4868,FBXW7,-1,JUN
4870,WWOX,-1,DVL2
4874,RXRG,1,RARA
4878,ARHGEF7,1,RAC1
4880,ARHGEF7,1,CDC42
4884,APAF1,1,CASP9
4885,FADD,1,CASP8
4887,ATM,1,FANCD2
4888,RIPK1,1,CHUK_IKBKB_IKBKG
4890,SOX10,1,RET
4894,SOX10,1,MPZ
4895,SOX10,1,MITF
4896,SOX10,1,MBP
4898,ARHGEF6,1,PAK1
4900,PAK1,1,ARHGEF7
4905,SOX10,1,EDNRB
4908,CHP1,1,PAK1
4909,SOX10,1,EGR2
4910,RAC2,1,PAK1
4914,RHOU,1,PAK1
4920,GRB2,1,PAK1
4921,NCK1,1,PAK1
4923,PPM1E,-1,PAK1
4924,PPM1F,-1,PAK1
4950,DAPK1,-1,PIN1
4951,E2F1,1,RPA2
4952,E2F1,1,POLA1
4953,NOTCH1,1,RBPJ
4954,CRKL,1,MAP4K1
4955,JUN,1,SMAD4
4957,SMAD3,1,JUN
4959,NCOA2,1,AR
4960,PRKCQ,1,CHUK
4962,NFKB2,1,RELB
4963,EGFR,1,STAT5B
4964,EGFR,1,STAT1
4966,LCK,1,CBL
4972,F2R,1,GNA13
4973,RAD50,1,RINT1
4974,FZD8,1,LRP5
4975,FZD8,1,LRP6
4976,CBL,-1,PLCG1
4978,CBL,-1,PIK3R2
4979,CBL,-1,PIK3R1
4981,ATG3,1,GABARAP
4982,ATG3,1,GABARAPL2
4983,IL6ST,1,SHC1
4984,CBL,-1,KIT
4985,ABRAXAS1,1,BRCA1
4987,PPP6C,-1,MAP3K7
4988,PPP2CA,-1,MAP3K7
4989,YAP1,1,SMAD7
4991,SHC1,1,INPP5D
4992,WNT4,1,FZD6
4993,MAPK8,1,H2AX
4996,SMAD2,1,MEF2A
4998,DAXX,1,TGFBR2
4999,PTCH2,1,SMO
5000,AXIN1,1,MAP3K1
5001,AXIN1,1,MAP3K4
5003,FRS2,1,PTPN11
5004,WNT1,1,LRP6
5005,KCNQ3,1,KCNQ2
5006,KCNQ2,1,KCNQ3
5007,WNT1,1,RYK
5008,UBR2,1,RECQL4
5009,IL6,1,IL6R
5010,VAV1,1,PRKCQ
5011,SUFU,1,STK36
5013,BTRC,-1,NFKBIA
5014,CD247,1,ZAP70
5015,KMT2A,1,KAT8
5017,GABARAPL1,1,SQSTM1
5018,NFKB1,1,RELA
5022,TGFB3,1,TGFBR2
5023,TGFB3,1,TGFBR3
5024,LYN,1,PLCG2
5026,DUSP16,-1,MAPK14
5027,ZIC1,1,GLI1
5028,MAX,1,MGA
5029,FYCO1,1,MAP1LC3A
5030,SYK,1,VAV2
5032,VAV1,1,SYK
5035,CRKL,1,RAPGEF1
5038,SMO,1,ARRB2
5039,TGFB2,1,TGFBR3
5040,TGFB2,1,TGFBR2
5041,SOCS6,-1,KIT
5042,SMAD3,1,NOTCH1
5043,TGFB2,1,TGFBR1
5044,CARD11,1,MALT1
5045,RRM2B,1,RRM1
5046,PLCG1,1,VAV3
5048,ROR2,1,FLNA
5049,CBX1,1,H3-4
5050,EID2,-1,SMAD3
5051,WNT3A,1,RYK
5052,CRKL,1,NEDD9
5053,NEDD9,1,CRKL
5054,LYN,1,PTK2
5055,ID2,-1,MYOD1
5056,BECN1,1,ZWINT
5057,CD3E,1,NCK1
5058,CR2,1,CD19
5060,CRKL,1,BCAR1
5061,BCAR1,1,CRKL
5063,BCAR1,1,CRK
5065,ABI1,1,CBL
5066,LCK,1,SH2D2A
5067,CXCL11,1,CXCR3
5068,LCP2,1,PLCG1
5069,ATF2,1,JUN
5070,ERBB2,1,PIK3R1
5072,IKBKG,1,CHUK
5075,FRS2,1,GRB2
5076,CTNND1,1,CDH1
5077,CDH1,1,CTNNA1
5078,NUMB,1,ITCH
5079,CTNND2,1,CDH2
5080,CDH2,1,CTNNB1
5081,FOS,1,JUN
5082,MEN1,1,FANCD2
5083,PTPN22,-1,CBL
5085,TGFBR1,1,PIK3R1
5086,TGFBR2,1,PIK3R1
5087,CTNNB1,1,TCF7
5088,CDK1,1,CCNB1
5089,DAB2,1,SMAD2
5090,DKK1,1,KREMEN1
5091,EMSY,-1,BRCA2
5093,TANK,1,TBK1
5095,CDK2,1,CCNA2
5097,NOTCH1,1,LEF1
5098,JAK2,1,TEC
5099,SMAD7,1,SMURF2
5101,GIT1,1,PLCG1
5102,NOTCH3,1,RBPJ
5104,RAP1GDS1,1,CDC42
5105,RBPJ,1,CIR1
5106,WNT3A,1,FZD1
5107,DUSP10,-1,MAPK14
5109,LAT,1,PLCG1
5110,MAML2,1,NOTCH4
5112,MAML2,1,NOTCH3
5113,MAML2,1,NOTCH2
5114,MAML2,1,NOTCH1
5116,TLE1,1,SIX3
5117,FYN,1,CD79A
5118,SMAD3,1,SMAD4
5119,SMAD3,-1,RUNX2
5121,MAP1LC3B,1,SQSTM1
5122,WNT2,1,FZD1
5123,WNT3,1,FZD1
5124,WNT5A,1,FZD1
5125,IKBKG,1,NFKBIA
5126,IKBKG,1,NFKBIB
5127,DTX1,1,NOTCH1
5128,TCL1A,1,AKT2
5129,CBLB,-1,KIT
5130,LAT,1,VAV1
5132,PTK2B,1,GRB2
5134,FZD4,1,DVL2
5135,MAPK14,1,RPS6KA5
5136,PTPN12,-1,PSTPIP1
5137,NUP214,1,SMAD4
5138,NUP214,1,SMAD3
5139,NUP214,1,SMAD2
5140,GRB2,1,GAB2
5141,TRADD,1,TRAF1
5142,DKK1,1,KREMEN2
5143,RYK,1,FZD8
5144,KPNB1,1,SMAD3
5145,CD80,1,CTLA4
5146,IL1R1,1,IRAK2
5147,IL1R1,1,IRAK1
5148,FANCD2,1,BRCA2
5149,UBR1,1,RECQL4
5151,GAN,-1,ATG16L1
5152,KIT,1,STAT1
5153,TANK,-1,TRAF2
5154,SRC,1,PTK2B
5156,PSEN1,1,NOTCH1
5157,CRK,1,CBL
5158,DVL3,1,FRAT1
5160,SKIL,1,SMAD3
5162,NCOA2,1,PPARG
5163,IL4R,1,IRS2
5165,IL1RN,-1,IL1R1
5166,PRKCQ,1,IKBKB
5167,FOXH1,1,SMAD2
5168,SOCS3,-1,IL6ST
5170,HDAC9,-1,MEF2C
5172,TRAF6,1,MALT1
5173,ARHGAP31,-1,RAC1
5174,WNT7A,1,FZD5
5175,SMAD1,1,DVL1
5177,DVL1,1,SMAD3
5178,EP300,1,SMAD7
5179,PSEN1,1,NOTCH3
5182,SMAD3,1,ESR1
5185,IL2,1,IL2RB
5186,IL2,1,IL2RA
5187,EGFR,1,RGS16
5188,CBLB,-1,SHC1
5189,MET,1,GAB1
5190,KIT,1,STAP1
5193,TNFRSF1A,1,TRAF2
5194,SUFU,1,SAP18
5196,VPS39,-1,SMAD4
5198,NOTCH1,1,SNW1
5200,IL2RB,1,SHC1
5201,BRIP1,1,BRCA1
5203,PTPRC,1,SKAP1
5204,MAP3K1,1,MAP2K1
5205,IRAK1,1,PELI1
5208,SRC,1,GAB2
5209,CHUK,1,IKBKB
5210,PTCH1,1,CCNB1
5213,ATG7,1,GABARAPL2
5214,DHH,1,PTCH2
5215,KAT2B,1,NOTCH1
5216,MAP3K7,1,CHUK
5217,CRK,1,RAPGEF1
5219,CD28,1,PIK3R2
5221,BTRC,-1,SMAD3
5222,BTRC,-1,SMAD4
5223,PSEN1,1,NOTCH2
5224,FYN,1,CBL
5228,CCN3,1,NOTCH1
5229,VAV1,1,MAPK1
5231,ERBIN,1,SMAD3
5233,CD19,1,VAV1
5234,KIT,1,GRB7
5235,UIMC1,1,BRCA1
5237,PTPN11,-1,PIK3R2
5239,EGFR,1,PIK3C2B
5240,EGFR,1,PIK3R1
5241,TGFBR2,1,ZFYVE9
5243,EGFR,1,PLCG1
5244,EGFR,1,PLD2
5245,GABARAPL2,1,SQSTM1
5246,TAX1BP1,1,TNFAIP3
5247,YY1,-1,NOTCH1
5248,RAC1,1,PAK2
5250,PRKCA,-1,EGFR
5251,SHC1,1,GRB2
5253,SHC1,1,SOS1
5255,KAT2B,1,AR
5256,SMARCAD1,1,TRIM28
5257,RYK,1,DVL1
5258,IL4R,1,IRS1
5259,RELA,-1,NCOR2
5261,RUBCN,-1,PIK3C3
5262,IL3,1,CSF2RB
5264,RELA,-1,NFKBIA
5265,RCOR1,1,REST
5266,CD4,1,LCK
5273,GRB2,1,SOS2
5274,EGFR,1,NCK2
5275,IL4R,1,JAK2
5279,EGFR,1,RASA1
5280,BRCA1,-1,ACACA
5281,HDAC2,-1,YY1
5283,TLE5,-1,SIX3
5284,PTK2,1,RAC1
5286,MAX,1,MNT
5287,SMAD2,1,SMAD4
5288,IL2RG,1,JAK1
5289,IL2RG,1,JAK3
5291,WDR45,1,ATG2A
5292,WNT3A,1,LRP6
5293,GRB2,1,GAB1
5295,ROR2,1,MAGED1
5299,CNTN1,1,NOTCH1
5300,IL1RN,1,IL1R2
5301,CDC73,1,CTNNB1
5302,DAB2,1,TGFBR2
5303,DAB2,1,TGFBR1
5304,PARD6A,1,SMURF1
5305,NFKBIE,-1,NFKB1
5306,NFKBIB,-1,NFKB1
5307,MAPK14,1,MEF2D
5310,PTPN11,-1,IRS1
5311,MAP1LC3B,-1,NBR1
5314,IL9R,1,JAK1
5315,CSNK1E,1,AXIN1
5316,DVL1,1,LRRK2
5317,ID1,-1,TCF4
5319,IL4R,1,IL2RG
5320,MAP1LC3A,1,SQSTM1
5321,TGFBR2,1,VPS39
5324,EGFR,1,ERBB2
5326,EGFR,1,ERBB3
5327,ID1,-1,MYOD1
5329,MAX,1,MYC
5330,IL5,1,IL5RA
5332,PLK1,-1,TP53BP1
5333,CDH10,1,CTNNB1
5334,IL9,1,IL2RG
5338,WNK2,1,WNK1
5339,CD86,1,CTLA4
5340,CRK,1,NEDD9
5341,NEDD9,1,CRK
5344,LAT,1,GRB2
5346,MAPK3,1,RPS6KA2
5348,TAB3,1,MAP3K7
5350,RBPJ,1,NCOR2
5354,PTPN11,-1,SIRPA
5356,NGF,1,NGFR
5357,TRAF2,1,TRAF1
5358,TRAF1,1,TRAF2
5360,MYC,1,SMAD2
5361,NBR1,1,GABARAP
5362,NOTCH2,1,RBPJ
5367,RING1,1,FHL1
5368,JAK3,1,PTK2B
5370,TGFBR1,1,VPS39
5374,PTK2,1,PXN
5375,IRS1,1,PIK3R1
5376,HRAS,1,RAF1
5377,DVL1,-1,AXIN1
5378,DVL2,1,AXIN1
5380,CARM1,1,EP300
5382,NCOR2,1,SNW1
5383,IL3,1,IL3RA
5386,IL7,1,IL7R
5387,MAPK3,1,PTPRR
5389,SRC,1,RAF1
5390,CRK,1,MAP4K1
5391,ERBB2,1,SHC1
5392,UCHL5,1,SMAD7
5393,KIT,1,PTPN11
5395,MAPK1,1,PTPRR
5397,SNW1,1,RBPJ
5398,SPEN,-1,RBPJ
5399,PSEN1,1,NOTCH4
5400,SRC,1,STAT1
5401,ICOSLG,1,ICOS
5404,PTPN11,1,GRB2
5407,NOTCH4,1,RBPJ
5408,MAML3,1,NOTCH4
5410,MAML3,1,NOTCH3
5411,MAML3,1,NOTCH2
5412,SYK,1,PLCG2
5413,MAML3,1,NOTCH1
5415,SHC1,1,GRAP
5416,CDK7,-1,AR
5417,GRB2,1,INPP5D
5418,TLE5,-1,SIX6
5419,PLCG1,1,SOS1
5420,IRS1,1,GRB2
5422,KIT,1,PIK3R1
5424,FYN,1,KIT
5426,NUP153,1,SMAD2
5427,NUP153,1,SMAD3
5428,ATG7,1,MAP1LC3A
5429,KAT2B,1,SMAD3
5430,MAP1LC3C,1,ATG3
5431,MAPK1,1,RPS6KA2
5432,SRC,1,PLCG1
5435,FHL2,1,AR
5436,WDR45,1,ATG2B
5437,MAML1,1,NOTCH4
5438,MAML1,1,NOTCH2
5439,MAML1,1,NOTCH3
5441,MEN1,-1,RELA
5442,GRAP,1,SOS1
5444,HECW1,-1,DVL1
5445,MAP1LC3A,1,ATG3
5446,ARHGAP33,-1,RAC1
5449,IL1A,1,IL1R2
5450,NBR1,1,GABARAPL1
5451,IRAK1,1,TRAF6
5453,WNT1,1,LRP5
5454,TGFBR1,1,PARD6A
5456,TGFB1,1,TGFBR2
5457,TGFB1,1,TGFBR3
5458,TGFB1,1,TGFBR1
5463,EGFR,1,NCK1
5464,CBL,-1,ZAP70
5466,IL1RAP,-1,TOLLIP
5467,IL9,1,IL9R
5468,VAV1,1,GRB2
5470,RASSF5,1,RASSF1
5471,DTX1,1,EP300
5473,RIPK1,1,IKBKG
5474,DLL1,1,NOTCH2
5476,DLL1,1,NOTCH3
5478,VAV1,1,RAC1
5480,SMAD4,1,LEF1
5481,SMAD3,1,LEF1
5482,SMAD2,1,LEF1
5483,SLX4,1,ERCC4
5484,DIXDC1,1,DVL1
5488,NCOA4,1,AR
5489,GRB2,1,MAP4K1
5490,KIT,1,JAK2
5491,DLL4,1,NOTCH4
5492,GAB1,1,PLCG1
5494,MAP4K1,1,MAP3K7
5495,SH3KBP1,1,CBL
5496,HCK,1,CBL
5497,LCK,1,KIT
5499,IL6ST,1,JAK2
5500,ID3,-1,TCF4
5501,ID3,-1,TCF12
5502,PCNA,1,POLE_POLE2_POLE3_POLE4
5503,ARRB1,1,DVL2
5504,ANAPC2,-1,DVL1
5505,CARD18,-1,CARD8
5506,IL1B,1,IL1R1
5508,TRAF2,1,MAP3K1
5510,IRS2,1,PIK3CA
5511,MATK,1,KIT
5513,NEDD4L,-1,SMAD3
5514,NEDD4L,1,SMAD7
5515,LIF,1,LIFR
5516,RBX1,1,CUL1
5517,IL13,1,IL13RA1
5518,IL13,1,IL13RA2
5520,VAV1,1,PLCG1
5522,VAV1,1,GRAP
5523,MAP3K7,1,MAP2K6
5524,PRKCQ,1,MAP3K7
5525,TGFBR2,1,TRAF6
5526,VAV1,1,RHOA
5528,VAV1,1,CDC42
5529,MAP3K5,1,MAP2K4
5530,MAP3K5,1,MAP2K7
5531,MAP3K5,1,MAP2K6
5532,PEBP1,1,MAP3K7
5533,TAOK2,1,MAP2K6
5534,DUSP16,1,MAPK8IP1
5537,MAPK11,1,MAPKAPK5
5538,BMP2,1,BMPR2
5539,GDF5,1,BMPR2
5540,ACVR2B,1,ACVR1B
5541,NOTCH1,1,CHUK
5543,IFNAR2,1,JAK1
5545,IL10RA,1,JAK1
5546,IL21R,1,JAK1
5548,LYN,1,PIK3R1
5549,RARB,1,RXRA
5551,PRL,1,PRLR
5552,GH1,1,PRLR
5553,GH1,1,GHR
5554,IFNAR1,1,JAK1
5556,TYK2,1,STAT2
5557,JAK1,1,STAT2
5559,TYK2,1,IFNAR1
5560,IFNG,1,IFNGR2
5562,JAK1,1,IFNGR1
5563,TYK2,1,STAT3
5564,TSLP,1,CRLF2
5565,STAT1,1,IRF9
5566,STAT2,1,IRF9
5570,JAK2,1,PTPN11
5572,INS,1,IGF1R
5573,IL12A,1,IL12RB1
5576,RPS6KA1,1,FOS
5577,MAPK8,1,ELK1
5578,IRS1,1,JAK2
5579,IFNA13,1,IFNAR1
5580,IFNB1,1,IFNAR1
5581,IFNA13,1,IFNAR2
5582,IFNB1,1,IFNAR2
5583,IL15,1,IL15RA
5584,MAP3K7,1,MAP2K3
5585,JAK1,1,PTPN11
5586,MAP4K1,1,MAP3K11
